hospital_id,hospital_type,city_region,blood_type,day_of_week,month,season,temperature_c,rainfall_mm,dengue_cases_weekly,road_accidents,emergency_cases,scheduled_surgeries,holiday,blood_donation_camp,current_inventory,expected_demand_units
21,General,Urban,A+,6,1,Winter,21.7,1.8,3,10,16,1,0,0,150,67
9,General,Urban,A+,1,8,Monsoon,29.7,131.0,18,10,10,6,0,1,113,78
5,General,Urban,A+,3,7,Monsoon,29.4,158.5,22,18,14,9,0,0,124,95
9,General,Urban,O-,4,10,Summer,36.5,0.1,6,6,11,8,0,0,88,72
1,Trauma,Rural,B+,4,2,Winter,20.1,5.4,3,13,21,5,0,0,150,72
3,Clinic,Urban,AB-,7,7,Monsoon,28.8,116.4,14,20,9,0,0,0,49,51
3,Clinic,Urban,AB-,7,10,Summer,36.0,8.3,7,9,7,1,0,0,57,36
20,General,Urban,O+,3,11,Summer,32.0,6.4,8,9,6,1,0,0,151,62
19,Clinic,Rural,B+,4,12,Winter,17.4,4.3,8,6,4,4,0,0,20,29
18,Trauma,Semi-Urban,A+,1,3,Summer,34.2,3.0,7,9,13,3,0,0,219,75
12,General,Urban,O-,5,3,Summer,33.0,8.6,1,7,6,5,0,0,147,58
18,Trauma,Semi-Urban,A+,2,7,Monsoon,22.3,96.0,18,6,16,1,1,0,223,76
5,General,Urban,A+,1,6,Monsoon,23.3,179.5,29,14,15,6,0,0,112,95
23,General,Semi-Urban,O-,5,3,Summer,34.7,32.8,9,10,13,3,0,0,110,63
13,Clinic,Rural,B+,2,2,Winter,20.7,1.3,7,6,5,0,0,0,30,25
24,Trauma,Rural,A+,4,2,Winter,18.0,4.1,8,10,20,2,0,0,150,71
4,Clinic,Semi-Urban,A-,1,5,Summer,42.0,11.1,4,10,5,1,0,0,36,31
13,Clinic,Rural,A+,6,9,Monsoon,24.2,120.6,22,18,11,1,0,0,21,49
18,Trauma,Semi-Urban,O+,6,1,Winter,19.3,2.8,6,9,19,1,0,0,218,78
13,Clinic,Rural,B+,5,2,Winter,21.9,5.1,9,8,4,4,0,0,20,32
12,General,Urban,O+,6,4,Summer,37.2,13.2,3,8,8,5,0,0,150,64
5,General,Urban,O+,4,11,Summer,36.0,7.0,5,10,10,6,0,0,110,72
10,General,Urban,O+,2,12,Winter,21.2,5.1,5,7,5,6,0,0,167,60
6,General,Urban,A+,2,6,Monsoon,27.2,72.8,12,12,17,8,0,0,128,89
8,Clinic,Rural,B-,2,1,Winter,23.0,3.3,5,9,5,2,0,0,20,30
18,Trauma,Semi-Urban,A+,2,1,Winter,21.8,1.5,5,7,19,0,0,0,211,74
16,General,Semi-Urban,A+,3,11,Summer,31.4,9.1,5,8,6,4,0,0,80,52
16,General,Semi-Urban,O+,2,6,Monsoon,28.0,177.2,17,9,10,7,0,1,103,71
10,General,Urban,O-,5,1,Winter,13.4,2.1,6,11,10,0,0,0,162,61
24,Trauma,Rural,O+,2,11,Summer,38.6,32.9,11,10,23,4,0,0,150,80
3,Clinic,Urban,B+,5,7,Monsoon,27.7,86.5,13,19,13,2,0,0,58,56
9,General,Urban,O+,3,5,Summer,38.0,13.7,5,8,8,2,0,0,104,61
3,Clinic,Urban,B-,5,6,Monsoon,26.7,46.1,9,11,0,4,0,0,49,36
9,General,Urban,O+,4,3,Summer,28.4,18.7,12,10,9,5,0,0,96,74
25,General,Semi-Urban,A+,7,12,Winter,25.9,0.8,6,10,8,7,0,0,85,60
10,General,Urban,B+,4,10,Summer,34.4,9.2,5,12,10,3,0,0,164,69
23,General,Semi-Urban,O+,3,3,Summer,31.0,6.2,6,8,13,4,0,0,92,64
13,Clinic,Rural,O+,5,9,Monsoon,30.4,26.4,9,3,5,1,0,0,27,22
18,Trauma,Semi-Urban,A+,5,3,Summer,40.1,17.1,7,12,17,4,0,1,243,86
12,General,Urban,O+,4,6,Monsoon,26.4,69.5,10,13,14,9,0,0,132,86
7,Trauma,Urban,O+,4,9,Monsoon,26.7,84.1,10,14,32,6,0,0,215,120
20,General,Urban,O+,4,1,Winter,18.7,1.8,3,6,3,6,0,1,174,57
25,General,Semi-Urban,A+,3,9,Monsoon,23.7,137.7,20,12,11,8,0,0,80,78
7,Trauma,Urban,O-,3,3,Summer,31.9,13.1,3,4,7,1,0,0,236,76
20,General,Urban,B-,7,9,Monsoon,32.3,198.1,30,14,13,4,0,0,137,89
7,Trauma,Urban,A-,5,6,Monsoon,26.6,50.3,8,9,13,3,0,0,234,89
18,Trauma,Semi-Urban,AB-,1,1,Winter,15.5,1.9,9,14,24,5,0,1,223,96
20,General,Urban,B-,7,10,Summer,32.6,15.9,8,10,14,6,1,0,152,75
12,General,Urban,B+,5,4,Summer,37.2,30.7,6,10,11,2,0,0,142,68
19,Clinic,Rural,O+,1,12,Winter,12.1,2.2,5,6,2,0,0,0,23,20
7,Trauma,Urban,A-,6,11,Summer,34.8,1.0,4,11,18,1,0,0,234,90
2,Trauma,Semi-Urban,AB+,5,3,Summer,41.4,3.9,10,7,23,2,0,0,218,87
3,Clinic,Urban,O+,7,8,Monsoon,33.1,177.2,22,16,4,0,1,0,52,44
12,General,Urban,A-,4,5,Summer,35.7,8.9,4,5,9,5,0,0,163,62
23,General,Semi-Urban,B+,4,8,Monsoon,30.9,239.7,34,13,22,8,0,0,80,98
4,Clinic,Semi-Urban,B+,3,7,Monsoon,30.9,34.2,11,5,3,6,0,0,33,33
12,General,Urban,O+,3,4,Summer,33.6,16.0,6,5,4,8,0,1,165,64
18,Trauma,Semi-Urban,B+,5,8,Monsoon,29.8,115.0,19,8,18,11,0,0,203,100
6,General,Urban,O+,6,4,Summer,39.4,3.0,5,12,6,5,0,0,160,67
19,Clinic,Rural,O+,7,11,Summer,30.2,3.1,3,9,2,1,0,1,52,21
8,Clinic,Rural,B-,6,12,Winter,19.7,2.6,5,13,3,0,1,0,20,24
21,General,Urban,AB-,5,2,Winter,19.1,4.9,7,6,9,7,0,0,159,68
15,Trauma,Urban,B-,4,9,Monsoon,27.3,103.8,16,23,32,2,1,0,231,125
14,Trauma,Semi-Urban,A+,3,12,Winter,18.0,2.8,4,10,14,7,0,0,199,81
5,General,Urban,A+,6,2,Winter,18.7,2.7,2,11,14,3,0,0,133,70
12,General,Urban,O-,3,9,Monsoon,27.9,12.6,10,13,9,8,0,0,145,78
22,Clinic,Urban,A+,2,12,Winter,21.4,1.6,7,8,0,2,1,0,49,28
1,Trauma,Rural,A-,7,3,Summer,35.4,2.5,4,12,23,2,0,0,150,73
19,Clinic,Rural,A-,5,7,Monsoon,26.5,102.3,13,8,3,5,0,1,44,35
13,Clinic,Rural,O+,3,10,Summer,31.5,3.9,6,4,8,1,0,0,28,27
18,Trauma,Semi-Urban,A+,7,5,Summer,32.6,25.3,9,12,17,2,0,0,201,82
17,Trauma,Semi-Urban,B+,7,3,Summer,34.8,11.7,8,17,29,5,0,0,150,105
11,General,Semi-Urban,O+,3,5,Summer,31.9,5.3,2,14,10,3,0,0,123,60
8,Clinic,Rural,O+,4,5,Summer,36.8,22.6,6,5,5,2,0,0,20,22
16,General,Semi-Urban,B+,4,9,Monsoon,28.3,27.5,10,10,8,5,0,0,89,64
4,Clinic,Semi-Urban,O+,5,5,Summer,37.4,3.6,4,10,3,5,0,0,22,35
15,Trauma,Urban,O+,7,5,Summer,32.1,5.1,6,11,26,2,0,0,266,101
3,Clinic,Urban,O-,4,12,Winter,15.5,6.5,6,10,3,8,0,0,44,43
17,Trauma,Semi-Urban,B+,6,7,Monsoon,30.4,241.0,25,16,32,4,0,0,150,115
16,General,Semi-Urban,A+,5,12,Winter,18.4,0.7,6,8,13,4,0,0,85,60
3,Clinic,Urban,O-,7,9,Monsoon,26.4,320.0,27,18,6,0,0,0,50,56
19,Clinic,Rural,B+,3,11,Summer,36.1,17.4,9,7,2,1,0,0,26,17
11,General,Semi-Urban,A+,3,3,Summer,36.0,7.8,8,5,7,3,0,0,111,50
20,General,Urban,O+,3,12,Winter,14.2,4.7,4,6,5,4,0,1,171,57
2,Trauma,Semi-Urban,A+,7,12,Winter,22.2,6.6,8,10,20,1,0,0,220,80
5,General,Urban,B+,5,1,Winter,16.8,1.5,4,12,14,5,0,0,113,74
13,Clinic,Rural,O-,2,5,Summer,39.1,23.1,4,7,1,4,0,0,24,25
5,General,Urban,B-,1,5,Summer,30.0,11.1,6,4,8,14,0,0,108,75
9,General,Urban,O+,4,6,Monsoon,28.0,19.6,7,6,9,1,1,0,115,54
17,Trauma,Semi-Urban,A-,6,10,Summer,33.4,17.3,8,14,17,2,0,0,156,86
4,Clinic,Semi-Urban,O+,4,9,Monsoon,21.1,204.1,27,15,6,2,0,0,22,51
17,Trauma,Semi-Urban,B-,4,3,Summer,36.0,15.1,6,6,12,5,0,1,171,77
3,Clinic,Urban,A+,6,8,Monsoon,21.2,33.1,8,9,2,1,0,1,74,35
5,General,Urban,A+,4,12,Winter,17.1,4.4,5,8,7,5,0,1,148,62
15,Trauma,Urban,O+,7,6,Monsoon,30.3,96.1,15,9,22,3,0,0,271,102
20,General,Urban,AB+,5,12,Winter,16.4,4.6,4,4,8,6,0,0,146,63
5,General,Urban,O-,6,8,Monsoon,24.3,18.4,9,12,15,5,0,0,111,79
8,Clinic,Rural,O+,6,12,Winter,20.4,0.7,4,13,4,1,0,0,20,31
24,Trauma,Rural,B+,5,11,Summer,33.3,7.1,6,7,13,8,0,1,171,71
25,General,Semi-Urban,A+,1,1,Winter,16.8,5.8,4,11,10,4,0,0,101,60
15,Trauma,Urban,O+,3,10,Summer,37.8,18.1,3,10,16,6,0,1,299,94
12,General,Urban,AB+,1,3,Summer,30.5,21.8,8,10,15,6,0,0,139,76
9,General,Urban,B+,4,10,Summer,32.6,16.5,6,8,5,10,0,0,99,66
16,General,Semi-Urban,A+,2,10,Summer,36.6,19.2,6,12,13,4,0,0,87,67
15,Trauma,Urban,B-,4,4,Summer,30.3,13.4,5,5,17,1,0,0,279,87
8,Clinic,Rural,A-,3,1,Winter,23.3,2.8,6,5,4,2,0,0,20,21
1,Trauma,Rural,O-,1,6,Monsoon,26.3,124.4,18,13,21,2,0,0,150,82
4,Clinic,Semi-Urban,A+,1,4,Summer,36.6,3.9,8,9,4,5,0,0,30,36
24,Trauma,Rural,AB+,4,7,Monsoon,29.6,37.7,7,14,21,3,0,0,150,78
11,General,Semi-Urban,O+,1,1,Winter,17.5,1.0,11,6,10,8,0,0,120,67
13,Clinic,Rural,B-,6,1,Winter,16.6,3.6,8,6,2,1,0,0,31,25
12,General,Urban,O+,6,6,Monsoon,26.9,30.8,4,9,11,3,0,0,156,67
20,General,Urban,A+,5,10,Summer,36.1,0.9,6,14,9,8,0,0,152,76
2,Trauma,Semi-Urban,A+,2,4,Summer,31.0,3.0,5,7,17,10,0,0,221,86
3,Clinic,Urban,O+,6,4,Summer,30.4,29.7,5,8,0,3,0,0,64,30
7,Trauma,Urban,A+,5,2,Winter,22.5,3.7,6,4,9,5,0,1,245,84
13,Clinic,Rural,A+,3,4,Summer,31.8,22.6,8,11,0,4,0,0,23,30
17,Trauma,Semi-Urban,O+,1,4,Summer,35.1,2.5,8,4,7,1,0,0,164,65
13,Clinic,Rural,AB+,4,4,Summer,33.4,15.9,4,13,4,1,0,0,30,31
12,General,Urban,A+,6,5,Summer,33.5,3.6,7,10,10,2,0,0,156,66
24,Trauma,Rural,A+,1,4,Summer,38.3,15.6,5,16,17,3,0,0,150,71
5,General,Urban,O-,1,9,Monsoon,26.7,151.9,20,15,6,3,0,0,124,77
15,Trauma,Urban,O+,3,5,Summer,32.9,17.4,3,11,13,2,0,0,268,87
14,Trauma,Semi-Urban,A+,4,10,Summer,33.2,11.8,5,8,19,7,0,0,203,86
12,General,Urban,B+,4,8,Monsoon,25.5,197.2,22,14,15,5,0,1,162,88
21,General,Urban,B-,3,8,Monsoon,25.0,141.1,21,18,13,11,0,0,145,101
7,Trauma,Urban,O+,2,8,Monsoon,25.5,44.0,9,8,19,4,0,0,197,97
24,Trauma,Rural,O-,1,12,Winter,23.0,1.1,4,8,19,3,0,0,150,64
9,General,Urban,A+,1,4,Summer,36.1,48.7,9,14,12,0,1,0,111,67
14,Trauma,Semi-Urban,O-,1,12,Winter,17.0,1.8,8,8,13,6,0,0,201,78
14,Trauma,Semi-Urban,O+,5,3,Summer,36.9,10.2,6,11,14,6,0,0,205,83
22,Clinic,Urban,O+,6,2,Winter,13.2,1.4,11,9,2,0,0,0,55,31
11,General,Semi-Urban,O+,4,10,Summer,38.1,19.4,5,7,11,7,0,1,132,63
8,Clinic,Rural,A+,1,11,Summer,37.9,5.2,4,4,1,4,0,0,20,21
1,Trauma,Rural,O+,3,2,Winter,24.7,3.2,5,10,19,4,0,0,150,67
10,General,Urban,A+,7,8,Monsoon,30.0,107.7,15,17,14,3,0,0,136,84
21,General,Urban,O+,2,7,Monsoon,28.3,49.5,12,5,8,6,0,0,157,72
1,Trauma,Rural,O+,4,3,Summer,37.9,15.0,7,6,13,2,0,0,150,57
23,General,Semi-Urban,A+,4,7,Monsoon,25.1,228.2,29,19,18,5,0,0,84,90
14,Trauma,Semi-Urban,O+,3,9,Monsoon,25.8,95.5,17,10,18,3,0,0,200,87
4,Clinic,Semi-Urban,O+,4,7,Monsoon,26.8,128.5,16,15,5,2,0,0,23,43
8,Clinic,Rural,O+,4,7,Monsoon,31.1,60.7,13,8,5,2,0,0,20,32
14,Trauma,Semi-Urban,O+,4,11,Summer,31.4,7.7,4,10,20,2,0,1,213,82
8,Clinic,Rural,O+,6,3,Summer,31.1,3.6,5,8,4,2,0,1,43,28
3,Clinic,Urban,A+,5,8,Monsoon,27.7,89.6,17,14,3,5,0,0,47,47
17,Trauma,Semi-Urban,O+,1,4,Summer,36.2,22.8,14,2,17,5,0,0,165,82
17,Trauma,Semi-Urban,AB+,1,12,Winter,15.9,5.0,5,5,15,9,0,0,160,87
3,Clinic,Urban,A+,3,4,Summer,36.0,7.6,4,8,1,0,0,0,57,23
8,Clinic,Rural,O+,7,11,Summer,38.1,8.9,6,14,6,0,0,0,20,33
7,Trauma,Urban,AB-,1,8,Monsoon,30.6,230.3,23,24,31,4,0,0,206,134
17,Trauma,Semi-Urban,A+,1,3,Summer,35.1,16.1,9,9,12,1,0,0,172,71
19,Clinic,Rural,O+,5,10,Summer,33.7,19.7,5,10,6,2,0,0,20,29
19,Clinic,Rural,A+,4,3,Summer,39.2,21.4,6,14,2,2,0,0,20,33
24,Trauma,Rural,O+,2,4,Summer,34.0,8.0,4,12,17,6,0,1,150,72
20,General,Urban,O+,2,5,Summer,36.8,7.2,4,5,8,10,0,0,154,72
9,General,Urban,O+,5,9,Monsoon,32.9,57.7,11,7,10,1,1,0,105,61
3,Clinic,Urban,A+,4,5,Summer,36.5,7.0,6,9,3,2,0,0,60,36
16,General,Semi-Urban,O-,5,7,Monsoon,24.0,200.9,25,21,18,0,0,0,80,84
23,General,Semi-Urban,B-,2,7,Monsoon,23.3,71.2,13,12,14,5,0,1,126,71
25,General,Semi-Urban,O+,4,3,Summer,33.1,26.4,9,11,13,1,1,0,98,61
6,General,Urban,O+,7,3,Summer,36.1,10.1,9,12,10,2,0,0,153,74
6,General,Urban,O+,3,4,Summer,35.3,10.6,6,4,9,4,0,0,161,61
1,Trauma,Rural,B+,3,3,Summer,40.6,1.7,4,7,16,3,0,0,150,61
4,Clinic,Semi-Urban,O+,2,12,Winter,19.3,2.1,7,6,4,3,0,0,32,30
14,Trauma,Semi-Urban,AB-,5,5,Summer,33.0,29.7,8,10,16,2,0,0,201,77
14,Trauma,Semi-Urban,B+,1,5,Summer,30.6,28.9,9,5,18,6,0,0,173,85
10,General,Urban,B+,2,9,Monsoon,30.5,54.1,8,7,9,6,0,0,149,64
8,Clinic,Rural,A+,5,10,Summer,34.0,1.0,4,8,1,1,1,0,20,17
21,General,Urban,O+,1,9,Monsoon,22.5,37.2,12,7,8,12,0,0,157,81
12,General,Urban,O+,7,7,Monsoon,27.1,53.7,8,14,20,4,0,0,150,82
21,General,Urban,O+,3,12,Winter,15.0,2.1,5,6,9,1,1,0,162,56
25,General,Semi-Urban,A+,3,11,Summer,32.7,7.3,5,8,9,4,0,0,101,57
8,Clinic,Rural,O+,4,3,Summer,34.0,11.5,7,5,5,3,0,0,20,23
6,General,Urban,B+,5,2,Winter,15.3,1.3,4,7,10,3,0,0,153,66
24,Trauma,Rural,O+,4,5,Summer,32.5,10.3,8,6,18,4,0,0,150,69
16,General,Semi-Urban,B-,7,11,Summer,31.8,14.0,7,10,11,4,0,0,88,62
8,Clinic,Rural,AB+,7,12,Winter,15.8,2.2,10,17,7,2,0,0,20,41
16,General,Semi-Urban,A+,2,9,Monsoon,24.0,86.1,13,5,5,5,0,0,93,56
13,Clinic,Rural,O+,5,9,Monsoon,25.6,226.3,26,24,14,3,0,0,20,67
23,General,Semi-Urban,B+,3,3,Summer,31.3,18.1,5,10,9,7,0,0,98,59
7,Trauma,Urban,O+,7,8,Monsoon,28.8,115.4,20,19,33,2,0,0,213,123
25,General,Semi-Urban,A+,2,3,Summer,34.6,8.3,6,3,2,8,0,0,99,52
24,Trauma,Rural,B+,3,7,Monsoon,30.6,52.1,13,9,17,7,0,0,150,77
5,General,Urban,A-,5,3,Summer,39.7,10.7,5,11,13,5,0,0,129,73
5,General,Urban,A+,6,1,Winter,20.0,4.6,4,11,11,4,0,1,152,71
14,Trauma,Semi-Urban,O+,1,12,Winter,19.3,3.8,6,11,18,6,0,0,178,85
2,Trauma,Semi-Urban,A+,4,11,Summer,36.2,12.3,7,10,23,7,0,0,203,93
8,Clinic,Rural,O+,3,9,Monsoon,28.4,141.6,25,13,3,3,0,0,20,44
11,General,Semi-Urban,AB+,5,8,Monsoon,27.2,109.3,18,13,18,4,0,0,107,78
25,General,Semi-Urban,O+,4,3,Summer,33.9,19.4,10,13,12,0,0,1,118,62
25,General,Semi-Urban,O+,7,7,Monsoon,23.9,39.5,11,8,10,2,0,1,115,53
4,Clinic,Semi-Urban,O+,7,9,Monsoon,29.5,29.2,9,15,10,1,0,0,28,43
23,General,Semi-Urban,O-,5,7,Monsoon,26.9,213.9,25,15,18,7,0,0,83,91
3,Clinic,Urban,O+,5,4,Summer,38.3,0.9,5,10,2,3,0,0,52,33
19,Clinic,Rural,O+,7,5,Summer,36.7,4.2,3,14,3,0,0,0,21,24
22,Clinic,Urban,B+,2,11,Summer,32.1,8.3,8,9,3,3,0,0,44,36
23,General,Semi-Urban,O+,6,4,Summer,37.7,26.2,15,16,7,8,0,0,103,73
6,General,Urban,O+,6,12,Winter,10.3,1.0,1,10,7,1,0,0,157,60
23,General,Semi-Urban,B+,1,10,Summer,39.8,1.8,5,12,10,3,0,0,104,60
3,Clinic,Urban,O+,7,11,Summer,30.0,5.5,2,13,3,1,1,0,53,28
13,Clinic,Rural,O+,5,7,Monsoon,28.5,55.3,13,8,7,2,0,0,20,35
12,General,Urban,A+,3,3,Summer,35.3,11.9,6,5,8,7,0,1,184,66
8,Clinic,Rural,O+,4,1,Winter,21.4,4.7,8,4,2,0,0,0,20,20
1,Trauma,Rural,B+,4,7,Monsoon,26.0,144.7,15,8,22,9,0,0,150,84
20,General,Urban,O+,7,5,Summer,27.6,2.9,7,7,11,5,0,0,152,69
9,General,Urban,O-,7,2,Winter,17.0,0.2,4,8,9,3,0,0,111,65
17,Trauma,Semi-Urban,B-,6,12,Winter,17.3,3.3,4,8,26,2,0,0,169,87
11,General,Semi-Urban,O-,5,12,Winter,11.9,1.0,5,9,4,6,0,0,106,55
10,General,Urban,A+,1,5,Summer,34.1,6.8,6,8,9,5,0,0,173,65
23,General,Semi-Urban,A+,7,9,Monsoon,23.8,63.4,12,19,18,1,0,0,89,73
3,Clinic,Urban,AB+,1,5,Summer,35.9,7.3,4,9,3,4,0,0,59,36
19,Clinic,Rural,O-,2,6,Monsoon,26.3,13.3,7,7,1,3,0,0,20,28
19,Clinic,Rural,B+,1,8,Monsoon,32.9,89.6,13,17,3,5,0,0,20,44
10,General,Urban,B+,7,5,Summer,33.2,38.9,9,9,12,6,0,0,157,73
7,Trauma,Urban,O+,4,10,Summer,35.3,10.3,10,9,20,6,0,0,222,102
1,Trauma,Rural,O+,2,3,Summer,33.4,43.1,12,10,25,7,0,0,150,87
24,Trauma,Rural,A+,1,9,Monsoon,22.1,8.0,7,5,18,4,0,0,150,67
24,Trauma,Rural,A+,3,12,Winter,17.4,1.5,3,5,16,6,0,0,150,61
7,Trauma,Urban,B+,6,11,Summer,36.3,34.7,7,6,9,2,0,0,236,82
1,Trauma,Rural,O+,7,1,Winter,19.8,1.5,4,12,25,2,0,0,150,77
4,Clinic,Semi-Urban,O+,4,2,Winter,17.1,3.8,5,6,5,3,0,0,29,29
2,Trauma,Semi-Urban,O+,5,8,Monsoon,22.6,76.0,7,10,19,2,0,0,237,80
21,General,Urban,A+,6,12,Winter,19.9,2.4,7,10,10,1,0,0,163,66
23,General,Semi-Urban,O+,7,11,Summer,35.3,20.8,7,7,6,5,0,1,127,53
4,Clinic,Semi-Urban,B-,2,11,Summer,36.5,10.8,6,4,2,0,1,0,39,16
19,Clinic,Rural,O-,7,2,Winter,17.2,5.2,4,6,4,3,0,0,20,25
5,General,Urban,A+,4,7,Monsoon,21.9,241.5,27,19,18,8,0,0,117,103
10,General,Urban,A+,7,9,Monsoon,28.6,148.8,18,16,12,2,0,0,165,80
15,Trauma,Urban,O+,1,8,Monsoon,27.0,32.2,8,6,11,3,0,0,284,86
18,Trauma,Semi-Urban,AB+,1,10,Summer,38.2,49.2,19,9,18,5,0,0,217,91
22,Clinic,Urban,A+,7,3,Summer,34.1,16.2,5,14,4,0,0,0,43,38
2,Trauma,Semi-Urban,O+,5,6,Monsoon,26.9,66.3,11,7,11,2,0,0,239,73
5,General,Urban,B+,2,6,Monsoon,28.3,27.3,3,9,6,1,0,0,132,57
8,Clinic,Rural,A+,7,12,Winter,16.2,3.2,9,9,4,2,0,0,20,30
8,Clinic,Rural,AB+,1,3,Summer,32.1,5.8,6,7,6,2,0,0,20,27
25,General,Semi-Urban,O+,5,4,Summer,33.7,2.7,6,8,6,3,0,0,106,52
20,General,Urban,O+,2,1,Winter,15.2,1.1,6,11,9,5,0,0,144,68
9,General,Urban,O+,1,2,Winter,17.3,0.6,8,12,13,5,0,0,113,77
25,General,Semi-Urban,A+,6,12,Winter,23.8,2.3,10,8,10,0,1,0,105,48
13,Clinic,Rural,A-,6,11,Summer,37.1,9.8,6,12,4,2,0,0,28,28
13,Clinic,Rural,B-,1,4,Summer,34.9,14.6,10,7,5,1,0,0,27,25
11,General,Semi-Urban,B+,1,9,Monsoon,31.7,112.1,18,10,8,6,0,0,111,67
4,Clinic,Semi-Urban,O+,5,8,Monsoon,24.5,51.4,13,9,3,3,0,0,29,37
24,Trauma,Rural,A+,1,11,Summer,41.5,7.7,3,8,12,2,0,0,150,55
1,Trauma,Rural,O+,6,4,Summer,32.6,12.6,7,8,11,1,0,0,150,57
5,General,Urban,O-,7,12,Winter,24.0,1.2,0,11,10,2,0,0,133,64
6,General,Urban,O-,6,5,Summer,40.0,17.8,1,12,16,1,0,0,147,69
7,Trauma,Urban,O-,2,9,Monsoon,21.7,60.7,15,14,29,5,0,0,206,121
4,Clinic,Semi-Urban,O+,2,5,Summer,38.4,20.0,6,11,3,1,0,0,27,29
1,Trauma,Rural,B+,5,9,Monsoon,26.1,84.3,11,13,24,3,0,0,150,79
17,Trauma,Semi-Urban,A-,1,5,Summer,32.3,9.0,7,4,21,2,0,0,160,83
25,General,Semi-Urban,O-,4,11,Summer,35.6,24.0,7,9,4,8,0,0,83,57
4,Clinic,Semi-Urban,B+,4,8,Monsoon,24.0,20.1,5,13,6,1,0,1,53,39
8,Clinic,Rural,A+,6,4,Summer,35.5,14.1,6,16,6,1,0,0,20,35
13,Clinic,Rural,A+,2,12,Winter,15.2,8.9,5,4,1,8,0,0,23,28
24,Trauma,Rural,A-,6,9,Monsoon,27.5,87.0,10,13,23,2,0,0,150,77
18,Trauma,Semi-Urban,O-,5,6,Monsoon,31.0,74.9,13,11,24,1,0,0,204,92
20,General,Urban,A+,2,2,Winter,19.2,5.8,3,12,9,5,0,0,154,67
15,Trauma,Urban,A-,3,12,Winter,16.9,2.0,7,8,21,7,0,0,264,102
11,General,Semi-Urban,O+,1,10,Summer,35.6,8.6,5,6,9,6,0,0,113,57
5,General,Urban,O+,4,9,Monsoon,22.8,27.4,8,14,10,4,0,1,129,72
22,Clinic,Urban,B-,2,10,Summer,31.5,6.5,3,5,4,1,0,0,54,30
21,General,Urban,O+,1,8,Monsoon,25.7,119.7,17,17,16,2,0,0,147,84
1,Trauma,Rural,O+,4,3,Summer,36.4,8.8,11,6,12,5,0,0,150,62
