hospital_id,hospital_type,blood_type,temperature_c,dengue_cases_weekly,day_of_week,month,units_demanded
7,Trauma,A_NEG,37.5,196,4,10,38
9,General,O_NEG,30.9,190,4,3,36
8,Clinic,AB_NEG,27.6,50,5,10,9
1,General,B_POS,31.3,148,3,3,15
8,General,A_NEG,24.2,267,7,12,29
8,Trauma,AB_POS,29.1,49,3,8,22
3,General,AB_NEG,32.0,245,3,9,32
1,General,AB_POS,29.8,112,7,11,17
8,Trauma,AB_NEG,28.4,169,4,12,39
3,General,O_NEG,37.9,165,5,1,36
3,Trauma,O_POS,36.1,13,1,11,30
1,General,AB_POS,32.0,202,7,2,29
5,General,A_NEG,31.1,287,6,10,28
7,General,AB_NEG,31.9,188,2,2,27
9,General,AB_NEG,25.2,154,7,4,29
7,Trauma,B_NEG,28.3,54,1,2,24
9,General,B_NEG,22.6,181,4,7,24
8,Trauma,A_POS,29.6,209,6,9,37
2,General,AB_POS,30.7,74,6,7,16
1,Trauma,B_NEG,25.6,276,6,12,39
7,Clinic,A_POS,37.4,132,3,6,15
7,Trauma,O_POS,36.6,58,2,10,31
8,General,O_POS,33.6,181,4,1,33
5,General,B_NEG,30.5,63,4,11,14
3,General,AB_POS,35.9,259,6,10,31
8,Trauma,AB_NEG,24.1,192,4,9,40
6,General,B_POS,34.6,142,2,5,17
3,General,O_NEG,24.0,103,2,11,24
1,Trauma,AB_POS,34.7,213,5,5,40
3,General,O_NEG,26.4,241,7,6,37
5,Trauma,A_NEG,36.0,208,7,9,41
3,General,O_POS,37.1,92,5,8,19
1,General,B_NEG,24.4,141,1,8,18
5,Trauma,B_NEG,29.4,111,7,8,23
7,General,O_NEG,37.7,58,2,1,27
7,Trauma,AB_NEG,29.7,42,2,1,25
9,General,O_NEG,35.8,206,7,8,40
3,General,A_NEG,31.4,267,2,5,31
7,Clinic,AB_NEG,28.0,295,5,9,21
1,Trauma,A_NEG,26.6,117,6,2,23
4,Trauma,B_POS,25.3,19,6,9,23
4,General,O_POS,34.2,221,4,12,31
5,Trauma,B_NEG,28.2,165,6,8,37
7,General,B_NEG,30.2,130,3,9,15
7,General,B_POS,29.9,155,5,4,31
4,Clinic,A_POS,31.2,183,2,1,25
7,General,O_POS,35.8,89,7,1,22
3,Clinic,AB_NEG,37.7,93,6,5,19
6,General,B_POS,28.5,12,5,2,17
2,General,AB_NEG,35.2,292,6,8,33
9,Trauma,O_NEG,34.2,229,1,10,51
5,Clinic,AB_POS,31.2,291,2,11,23
6,Trauma,B_NEG,37.3,25,1,5,30
4,Clinic,AB_NEG,25.2,74,2,5,9
7,Trauma,A_NEG,23.7,298,5,2,35
9,Trauma,AB_NEG,35.7,149,4,7,29
7,Clinic,AB_POS,29.0,147,6,8,11
1,General,O_POS,35.6,7,6,10,19
1,General,B_NEG,36.3,28,3,1,17
9,General,O_NEG,23.0,295,7,2,35
9,Clinic,B_POS,36.1,208,1,10,26
4,Clinic,O_NEG,29.2,127,6,4,18
9,General,AB_POS,30.2,115,5,5,16
3,Trauma,B_NEG,32.0,143,4,2,30
7,Clinic,AB_NEG,36.8,234,7,1,25
6,General,O_POS,22.3,6,5,9,17
8,Trauma,A_POS,29.6,44,1,1,27
9,Clinic,O_POS,33.0,238,3,4,27
5,General,A_POS,33.6,154,6,2,32
1,Trauma,A_NEG,33.1,180,5,11,43
3,General,O_POS,24.2,214,7,4,25
8,Clinic,B_NEG,26.8,87,2,8,12
6,Clinic,A_POS,27.7,255,4,8,20
8,Clinic,B_POS,34.9,72,7,11,13
9,General,B_NEG,26.5,178,5,12,27
4,Clinic,B_POS,25.4,211,4,9,18
1,Clinic,O_POS,37.3,292,6,11,26
1,General,B_POS,22.1,233,2,12,29
4,Clinic,A_POS,38.0,238,3,5,23
7,General,B_NEG,32.8,222,7,7,33
2,Trauma,AB_NEG,35.3,118,3,3,28
3,General,AB_POS,26.7,263,2,10,27
1,General,A_POS,22.2,206,4,4,26
5,General,A_POS,33.8,94,6,10,20
1,Trauma,AB_NEG,35.3,221,5,9,43
8,General,B_NEG,33.8,275,2,10,32
1,Trauma,B_NEG,24.3,230,1,10,37
1,General,O_NEG,34.1,118,4,12,26
2,General,O_POS,34.3,267,3,1,31
2,Trauma,B_POS,32.5,272,7,2,42
6,Trauma,O_POS,34.3,63,2,5,30
7,General,AB_NEG,35.5,297,3,3,32
5,Trauma,O_POS,31.8,10,4,2,22
1,Clinic,AB_NEG,23.4,97,3,1,10
1,Trauma,B_NEG,29.8,70,2,10,24
3,General,B_POS,23.2,57,4,3,16
2,General,O_POS,28.5,289,1,1,25
5,Clinic,A_POS,28.5,250,2,12,23
6,General,A_NEG,23.1,275,5,1,26
7,Clinic,O_NEG,27.6,49,6,12,14
4,Trauma,AB_POS,23.8,215,2,1,39
7,Clinic,A_POS,34.9,51,4,8,14
8,Trauma,B_NEG,37.2,270,7,3,44
1,Clinic,AB_POS,23.2,83,6,11,7
6,General,A_NEG,37.3,292,2,1,30
8,Trauma,A_NEG,30.4,125,1,7,25
5,General,B_POS,26.8,295,7,10,28
4,General,AB_POS,23.2,71,1,3,12
2,Trauma,B_POS,30.0,295,5,8,38
6,Clinic,A_POS,34.7,235,7,4,30
6,Clinic,AB_NEG,33.3,55,3,4,15
1,Trauma,AB_NEG,22.8,109,7,5,25
9,General,AB_NEG,23.2,191,6,6,24
6,General,AB_POS,28.4,92,7,7,13
3,Trauma,AB_NEG,26.7,55,4,4,25
4,General,A_POS,25.7,59,4,8,14
4,General,B_POS,26.5,137,3,6,17
3,General,AB_POS,34.9,38,7,1,20
3,General,B_POS,36.9,27,1,1,24
3,General,AB_POS,28.5,48,1,9,13
4,General,B_POS,36.5,124,2,10,19
7,General,A_NEG,27.1,12,5,6,12
4,General,B_POS,29.6,35,6,10,11
9,Clinic,AB_NEG,25.6,100,5,8,11
1,General,A_NEG,32.2,281,7,7,32
8,General,B_POS,37.7,85,5,12,17
7,Trauma,AB_POS,31.7,3,2,6,25
2,General,AB_POS,27.7,222,5,4,26
8,Clinic,O_NEG,32.4,165,3,7,33
1,Trauma,AB_POS,24.0,277,2,9,36
9,General,B_NEG,36.2,129,3,11,17
9,General,A_POS,30.0,30,7,10,14
2,Clinic,AB_POS,29.2,10,2,10,9
7,Clinic,A_NEG,31.4,95,7,7,11
3,General,O_NEG,32.0,189,7,1,29
7,Trauma,AB_POS,23.1,191,5,10,37
9,General,B_NEG,32.9,265,3,9,29
4,Clinic,AB_NEG,25.9,127,7,4,8
1,General,A_NEG,33.4,237,3,3,30
2,Clinic,B_NEG,35.2,111,3,4,14
1,Trauma,AB_NEG,34.9,144,2,4,29
5,Trauma,O_POS,30.8,64,4,10,23
5,Trauma,O_POS,30.3,246,5,11,38
7,General,A_NEG,24.3,222,7,2,25
9,General,B_POS,34.4,105,3,12,18
9,General,A_POS,26.3,180,6,1,28
3,General,O_NEG,29.9,183,4,12,36
3,Trauma,A_POS,26.5,225,7,10,36
3,General,B_NEG,24.1,264,6,12,21
4,General,AB_NEG,32.1,277,5,1,29
8,Clinic,A_POS,22.9,88,5,8,10
6,Clinic,AB_NEG,34.0,175,3,2,27
8,Clinic,AB_NEG,27.1,17,3,12,10
1,Clinic,B_NEG,22.0,105,7,10,9
8,General,B_NEG,30.2,270,2,5,32
4,General,B_NEG,22.7,166,4,12,26
1,Trauma,A_POS,26.4,12,7,4,26
8,Trauma,O_POS,33.3,31,4,8,26
4,General,B_NEG,23.0,39,3,2,13
6,Clinic,O_NEG,35.4,147,5,10,23
8,General,A_POS,22.1,217,3,9,29
4,General,B_NEG,25.9,218,5,7,26
3,Trauma,AB_POS,33.9,81,7,7,25
9,Trauma,AB_NEG,27.1,207,5,1,37
3,Trauma,O_NEG,23.6,200,3,12,45
9,General,B_NEG,27.8,37,1,2,15
2,Clinic,A_NEG,26.3,210,4,4,21
2,General,AB_NEG,35.5,248,6,4,31
2,General,AB_NEG,27.0,226,5,11,26
6,Clinic,B_NEG,34.6,47,5,3,12
3,Clinic,O_POS,36.3,17,1,7,16
9,Clinic,B_POS,28.9,294,7,12,22
4,Clinic,O_POS,36.6,195,7,8,26
1,Trauma,B_NEG,28.0,186,7,2,36
4,Trauma,AB_NEG,37.4,223,6,4,41
1,General,O_NEG,23.4,228,2,3,35
5,General,A_NEG,33.0,76,1,2,22
4,General,O_NEG,29.9,187,6,12,36
8,General,O_NEG,28.2,269,1,6,34
8,Trauma,AB_NEG,32.1,94,5,4,28
7,General,O_POS,33.3,131,4,6,17
3,General,A_NEG,22.1,38,1,2,15
1,General,A_POS,24.7,71,2,12,13
1,Trauma,AB_POS,33.4,280,3,4,42
3,General,AB_NEG,32.7,159,6,11,26
6,Clinic,B_NEG,37.5,186,1,6,27
7,General,A_POS,34.2,190,1,5,32
6,General,AB_POS,37.2,119,2,3,22
6,Trauma,B_NEG,33.2,219,4,8,43
6,Clinic,O_NEG,26.8,52,1,7,17
3,General,B_POS,23.7,221,1,3,29
6,Trauma,B_NEG,34.5,130,4,6,29
8,Trauma,A_NEG,32.3,236,2,4,37
2,General,A_NEG,22.8,245,6,11,27
5,Clinic,B_POS,27.8,225,6,5,21
1,Trauma,A_POS,37.3,207,1,11,41
1,Trauma,AB_POS,30.0,95,4,5,28
5,Clinic,B_NEG,28.9,199,1,7,22
3,Clinic,A_NEG,29.3,246,7,11,20
4,Trauma,A_POS,25.3,71,3,5,27
3,Clinic,B_POS,27.9,184,6,11,23
1,Trauma,O_POS,27.9,5,7,3,23
1,Trauma,AB_NEG,22.8,205,5,10,34
5,Trauma,O_POS,34.3,31,3,5,27
6,Trauma,O_POS,28.7,98,1,7,27
3,General,A_NEG,35.2,255,2,5,30
9,Clinic,O_NEG,35.6,186,6,5,34
5,Clinic,O_NEG,25.4,75,5,9,15
8,General,B_POS,32.5,176,3,3,33
1,Clinic,B_NEG,29.6,286,6,6,18
5,General,O_NEG,36.1,254,4,1,38
3,General,O_POS,25.5,189,2,10,28
1,Trauma,O_NEG,32.8,126,3,5,35
4,General,O_POS,31.7,286,4,8,28
5,Clinic,AB_POS,26.7,253,7,5,20
7,Clinic,A_NEG,24.2,212,1,9,20
1,Trauma,A_NEG,32.4,249,4,11,44
3,General,B_NEG,33.8,83,3,6,19
2,General,O_NEG,27.1,12,3,8,24
9,Trauma,O_NEG,32.3,44,7,10,39
6,Clinic,AB_NEG,28.3,126,1,8,5
3,Trauma,A_POS,33.4,113,4,3,30
8,General,AB_POS,25.2,275,4,7,25
8,Trauma,A_NEG,36.2,204,1,7,40
2,Trauma,AB_POS,26.6,272,4,10,38
6,Trauma,A_NEG,27.9,57,6,12,24
7,General,AB_POS,22.9,218,1,6,28
2,Trauma,B_POS,23.8,108,2,12,25
2,Trauma,O_POS,30.3,278,3,7,37
1,Clinic,A_NEG,26.3,173,2,2,21
8,General,AB_POS,35.4,263,6,9,29
1,Trauma,O_NEG,22.2,110,7,10,32
9,Clinic,A_POS,28.1,186,6,10,22
6,General,B_POS,27.4,268,5,1,31
7,Clinic,B_POS,22.3,228,5,1,25
7,Trauma,A_POS,24.0,155,5,3,36
3,General,AB_POS,28.6,188,1,3,27
2,General,O_NEG,29.9,271,4,1,34
9,Trauma,B_NEG,28.5,1,6,12,25
8,General,A_POS,30.5,245,2,7,28
7,Trauma,AB_POS,31.5,209,7,4,38
9,General,A_POS,22.2,285,2,10,21
4,Trauma,A_POS,29.4,12,2,2,26
4,General,A_NEG,37.4,95,2,10,18
1,Clinic,AB_POS,30.3,220,7,5,21
8,Clinic,B_NEG,32.8,237,5,6,28
3,Clinic,O_POS,27.0,93,2,9,13
7,Trauma,A_NEG,34.4,268,7,4,42
2,General,A_POS,34.4,170,7,2,30
2,Trauma,O_POS,30.3,93,4,5,23
7,General,AB_NEG,37.6,148,7,3,13
6,General,O_POS,24.0,111,5,2,15
3,General,A_POS,22.3,54,2,12,16
9,General,A_POS,34.3,115,7,1,19
6,Trauma,O_NEG,34.9,142,1,10,39
6,Trauma,AB_POS,23.9,200,7,2,34
1,General,AB_POS,26.2,179,3,6,27
4,General,A_NEG,22.3,201,3,8,26
6,Clinic,B_NEG,26.7,52,3,3,10
6,General,A_NEG,34.4,179,7,11,33
5,General,B_POS,30.3,136,5,9,15
1,General,A_POS,27.6,181,2,12,26
8,Trauma,O_POS,27.9,0,6,9,23
5,Trauma,AB_NEG,22.0,43,6,2,28
5,General,A_POS,26.8,226,6,8,24
7,General,A_POS,32.3,97,5,10,18
4,Trauma,A_NEG,37.6,207,4,11,44
6,Trauma,AB_NEG,35.6,264,1,12,42
4,General,AB_NEG,22.4,287,1,5,27
3,Clinic,AB_NEG,36.4,270,3,4,26
7,General,A_NEG,34.5,139,3,10,17
8,General,A_POS,34.5,236,7,5,31
4,Clinic,A_NEG,29.3,71,6,4,9
2,General,AB_POS,28.4,154,7,8,27
3,Trauma,AB_POS,26.8,189,6,4,34
1,General,A_NEG,23.1,267,3,10,28
8,General,AB_NEG,25.7,106,2,12,17
3,Clinic,O_NEG,25.9,231,4,6,30
7,General,A_POS,29.7,41,7,2,16
5,Clinic,A_NEG,34.0,189,4,5,27
5,General,A_NEG,29.6,138,4,6,14
7,General,A_NEG,22.9,102,4,5,13
9,General,O_NEG,37.3,170,3,12,37
5,Trauma,O_NEG,37.1,272,1,2,50
1,General,B_POS,34.6,220,3,7,31
1,Clinic,AB_POS,37.9,212,4,4,29
2,General,O_POS,30.7,55,3,8,17
6,Clinic,AB_NEG,37.4,101,4,7,16
9,General,B_NEG,23.2,191,5,7,28
8,Clinic,O_NEG,27.9,199,6,9,28
5,Trauma,O_POS,25.6,232,1,1,38
1,Trauma,O_NEG,25.1,226,5,10,45
7,Clinic,AB_NEG,24.3,138,2,6,8
5,Trauma,B_NEG,32.0,148,3,6,27
6,Trauma,B_POS,34.5,114,2,6,31
7,General,A_NEG,31.3,62,7,12,13
3,General,B_POS,24.4,103,3,6,14
3,Clinic,O_NEG,35.0,155,6,12,33
5,Trauma,B_POS,32.2,272,5,10,42
6,Trauma,O_POS,28.2,5,6,7,26
9,General,A_POS,32.8,146,7,10,19
5,General,O_NEG,26.2,183,4,6,36
1,General,O_NEG,27.5,27,6,1,20
4,Trauma,O_POS,36.7,37,6,3,30
5,General,AB_POS,26.6,118,4,2,15
5,General,B_NEG,29.5,292,3,6,26
7,General,A_NEG,36.2,243,4,8,28
4,General,O_POS,33.3,67,5,3,19
1,Trauma,B_NEG,23.0,213,6,10,38
5,General,AB_NEG,24.4,217,4,8,24
7,Trauma,B_NEG,22.1,176,7,8,37
6,General,AB_NEG,32.1,298,7,5,31
5,General,O_POS,29.2,163,6,8,26
4,General,O_NEG,24.1,57,5,6,24
2,General,O_NEG,37.3,268,2,5,39
4,General,AB_POS,30.5,57,5,9,16
3,General,O_POS,25.9,287,1,7,28
1,Trauma,AB_NEG,30.0,104,1,8,26
8,General,B_NEG,32.9,227,1,1,33
5,Trauma,B_NEG,23.2,246,6,11,38
4,Clinic,AB_NEG,26.4,187,7,2,21
8,Trauma,B_POS,34.9,82,3,8,28
7,General,AB_POS,29.4,185,7,12,25
2,General,A_POS,30.7,251,3,9,27
1,General,O_NEG,28.9,237,3,4,38
4,General,A_NEG,22.7,183,7,12,26
8,Clinic,B_NEG,24.7,283,6,10,23
2,General,A_NEG,29.1,209,5,11,25
3,General,A_POS,25.3,295,3,10,27
1,Trauma,O_POS,22.8,96,2,9,28
1,Trauma,A_NEG,35.5,207,7,4,42
3,Trauma,A_POS,37.7,136,7,10,26
5,General,O_NEG,34.7,183,1,10,40
3,General,AB_NEG,35.7,75,5,10,20
1,Trauma,B_POS,25.9,286,1,9,37
1,General,O_NEG,37.4,141,7,11,28
8,General,B_NEG,25.2,236,7,7,25
2,General,A_POS,37.2,24,3,2,19
3,General,A_NEG,37.9,289,5,9,33
2,General,B_NEG,33.4,66,4,4,21
3,General,B_POS,37.7,249,2,8,32
7,Trauma,AB_NEG,31.1,117,3,7,23
1,Trauma,O_POS,26.2,72,7,7,23
8,Clinic,B_NEG,29.0,281,3,8,22
2,General,O_POS,31.5,9,2,1,15
3,General,A_POS,23.2,210,7,5,27
9,General,B_POS,32.0,151,2,2,25
7,Trauma,A_NEG,37.7,4,4,2,30
4,Trauma,B_POS,25.0,194,3,1,37
5,General,B_POS,34.7,282,6,5,32
2,Clinic,AB_POS,36.5,112,3,2,15
8,General,B_POS,37.1,270,1,4,30
4,Trauma,B_POS,37.4,162,5,3,40
9,Trauma,O_NEG,30.3,104,5,3,35
5,Clinic,B_NEG,37.6,180,1,2,24
9,Trauma,A_NEG,34.1,43,7,6,28
4,Clinic,O_NEG,24.6,281,5,2,32
5,General,O_NEG,29.6,174,2,8,34
9,Clinic,B_NEG,33.5,161,5,8,26
8,General,B_NEG,26.0,139,5,12,14
3,Clinic,A_POS,32.2,131,1,5,10
1,Trauma,B_NEG,32.7,86,7,10,29
3,Clinic,AB_POS,24.6,175,4,7,20
4,General,AB_POS,31.0,182,5,4,28
2,Trauma,O_NEG,34.3,128,6,1,39
1,Trauma,O_POS,30.0,245,5,11,33
7,Trauma,A_POS,22.2,88,4,2,24
8,General,O_POS,22.1,65,1,10,16
7,General,O_POS,27.7,157,4,10,23
5,General,O_NEG,36.8,148,1,4,30
1,General,AB_NEG,25.7,115,2,1,16
7,Clinic,O_NEG,32.1,213,1,8,36
7,General,A_NEG,25.6,293,2,9,26
9,Clinic,A_NEG,27.1,252,2,4,21
3,General,B_NEG,35.6,142,1,10,19
9,General,B_NEG,33.7,249,6,3,35
1,Trauma,AB_NEG,23.5,24,3,2,28
1,Trauma,B_NEG,28.9,276,1,5,37
4,General,A_NEG,22.5,69,5,3,16
9,Trauma,O_POS,29.7,112,6,10,26
6,Trauma,O_NEG,32.6,111,6,7,42
3,General,B_POS,23.9,90,5,11,16
1,Clinic,AB_POS,26.6,17,3,6,10
4,Clinic,B_POS,28.4,148,6,1,9
9,Trauma,B_POS,36.7,226,2,12,41
3,General,A_NEG,37.9,213,3,8,30
9,Trauma,B_POS,22.7,150,7,2,26
7,General,O_NEG,34.2,191,5,5,36
4,General,AB_NEG,27.9,39,3,9,14
3,General,A_POS,28.3,241,1,8,28
5,General,B_NEG,34.1,137,3,2,20
5,Clinic,A_POS,36.7,179,2,9,25
3,Trauma,O_POS,37.2,199,1,5,41
9,Trauma,O_NEG,31.2,202,4,10,47
4,General,O_NEG,27.7,60,5,6,21
5,General,AB_POS,34.6,191,5,3,29
4,General,O_NEG,26.0,4,3,3,21
5,Clinic,B_NEG,31.0,236,6,10,22
7,General,O_NEG,27.7,180,1,8,32
9,Clinic,B_POS,32.5,36,4,11,16
7,Trauma,AB_POS,25.8,55,1,10,23
5,General,B_NEG,25.1,236,5,10,27
7,Trauma,AB_NEG,36.7,196,1,12,40
5,General,AB_NEG,23.6,72,4,2,15
3,Clinic,AB_NEG,30.1,58,6,11,7
7,Clinic,AB_NEG,25.5,239,3,12,24
2,General,B_POS,22.6,1,2,12,13
9,General,O_NEG,22.6,187,1,2,33
1,Trauma,A_POS,24.8,29,2,5,30
6,Clinic,B_NEG,35.9,266,5,6,27
7,General,B_POS,26.5,107,3,12,17
8,Trauma,AB_NEG,37.2,89,7,2,30
9,Trauma,O_POS,31.3,204,3,5,36
2,Trauma,O_NEG,29.0,219,1,7,42
2,General,A_POS,31.3,93,6,10,14
5,Trauma,O_POS,30.3,102,3,10,23
5,Clinic,AB_POS,34.1,222,1,8,24
6,General,O_POS,26.5,185,1,12,24
3,General,AB_POS,27.6,183,2,7,27
8,Clinic,AB_POS,36.3,161,3,8,29
1,General,AB_NEG,37.1,246,1,12,32
6,Clinic,AB_POS,36.3,30,2,9,14
4,General,A_NEG,28.7,51,4,5,15
1,General,B_NEG,34.5,75,7,5,13
7,Clinic,B_NEG,29.6,277,2,11,21
9,General,AB_NEG,30.0,39,2,10,12
4,Trauma,A_NEG,25.3,100,1,4,25
4,General,O_POS,31.5,110,5,9,14
6,Trauma,B_POS,25.0,248,5,5,35
3,General,O_POS,27.3,190,6,2,27
6,General,O_NEG,35.7,181,5,10,39
7,Clinic,B_POS,25.3,208,2,8,25
3,General,AB_POS,23.1,21,6,7,16
7,Trauma,A_POS,23.1,165,1,8,37
3,General,B_POS,37.1,98,3,12,17
2,Trauma,A_POS,30.1,207,7,3,35
4,General,B_NEG,28.6,7,7,4,16
8,Clinic,A_POS,35.0,189,2,5,26
9,General,B_NEG,35.4,174,2,6,31
7,General,A_NEG,27.3,272,6,1,29
1,General,A_NEG,33.1,16,1,4,16
3,General,AB_NEG,34.3,89,4,11,22
9,Trauma,AB_NEG,32.5,140,2,12,31
1,General,AB_POS,24.4,144,4,10,11
9,Clinic,B_POS,36.0,165,4,5,31
8,General,AB_POS,30.6,77,5,7,16
1,General,B_NEG,26.5,261,1,5,26
6,Trauma,AB_POS,28.8,162,7,1,38
5,Trauma,A_POS,22.6,13,7,11,23
6,General,B_NEG,24.0,238,4,7,28
5,General,AB_NEG,34.2,71,7,8,17
6,General,A_NEG,22.0,142,1,7,19
5,Trauma,AB_NEG,28.7,282,5,11,37
5,Trauma,B_POS,30.4,268,1,4,38
4,General,B_NEG,22.9,240,2,8,25
3,Clinic,B_NEG,37.6,244,4,5,28
3,Clinic,A_POS,25.6,162,1,10,22
4,Trauma,B_POS,26.9,59,7,9,22
9,Clinic,A_NEG,26.9,5,3,12,10
2,General,O_POS,25.7,196,1,12,31
9,General,B_NEG,22.0,57,4,10,17
1,General,B_NEG,33.7,216,5,5,30
1,General,A_POS,37.5,25,7,1,15
5,Trauma,AB_POS,25.6,4,5,12,23
6,Clinic,O_NEG,32.6,19,4,9,19
6,General,A_NEG,33.9,197,7,12,27
3,General,AB_NEG,35.6,58,2,5,21
7,General,B_POS,28.8,241,7,6,27
9,Clinic,B_NEG,26.8,145,2,4,14
8,General,B_NEG,27.2,272,5,6,25
6,Trauma,AB_NEG,33.4,248,5,12,41
8,General,A_NEG,35.1,13,4,8,16
5,General,O_NEG,24.9,12,2,3,22
8,Clinic,AB_POS,27.9,43,5,5,10
4,Clinic,B_NEG,36.4,18,2,2,13
8,General,O_NEG,34.9,62,5,2,27
2,Clinic,A_NEG,37.8,238,7,7,28
5,Trauma,AB_NEG,34.1,99,1,10,31
9,Clinic,A_POS,28.3,162,3,10,20
4,General,AB_POS,31.5,121,7,11,15
6,Trauma,B_POS,32.6,43,6,10,31
1,General,B_NEG,23.3,144,1,6,17
9,Trauma,A_NEG,30.7,49,6,4,24
1,General,A_POS,33.3,64,5,5,20
5,General,B_POS,24.7,287,3,1,28
4,General,O_POS,34.5,163,3,7,29
3,Trauma,A_NEG,31.3,140,5,8,27
6,General,A_NEG,37.2,127,5,9,19
2,Trauma,B_POS,22.7,238,2,8,34
3,Clinic,A_POS,26.2,295,5,5,21
5,General,O_POS,31.6,186,4,3,27
9,Trauma,O_NEG,26.7,207,5,10,44
2,General,O_NEG,33.4,219,4,11,41
8,Clinic,AB_NEG,34.1,189,5,9,29
2,General,A_POS,23.6,283,2,6,26
5,Trauma,AB_POS,30.2,236,4,5,36
7,Clinic,B_NEG,30.1,193,1,3,22
8,Clinic,B_POS,27.9,286,4,6,22
1,Trauma,AB_NEG,36.9,258,7,3,40
6,General,O_POS,35.2,245,2,10,24
1,Trauma,B_POS,33.2,135,6,12,33
2,Clinic,B_POS,33.4,279,4,6,26
1,Trauma,A_POS,29.4,270,7,4,37
5,General,B_NEG,36.7,170,7,2,32
9,Clinic,AB_POS,33.1,158,7,8,26
6,Trauma,O_NEG,33.7,200,5,4,48
1,Trauma,A_NEG,35.8,44,7,9,27
1,General,A_NEG,26.4,263,5,7,23
2,Trauma,B_POS,34.9,70,6,12,26
9,General,O_NEG,25.1,102,2,2,21
3,Trauma,O_NEG,27.5,124,3,4,34
1,General,B_NEG,27.4,285,5,5,28
5,Trauma,O_POS,37.7,229,7,3,39
7,Clinic,O_POS,35.7,145,7,9,9
6,General,AB_NEG,33.2,196,1,5,31
1,Clinic,A_POS,33.6,220,7,2,25
5,General,B_NEG,31.0,59,2,11,14
5,Clinic,B_NEG,37.2,97,4,3,16
6,Trauma,A_POS,29.9,170,4,9,37
3,Trauma,O_NEG,28.1,172,7,7,43
5,Trauma,O_POS,24.6,150,1,2,23
7,Clinic,O_POS,34.6,121,5,9,13
5,General,O_NEG,33.8,107,2,4,25
5,General,O_POS,28.1,3,1,9,15
5,Trauma,B_POS,22.4,92,5,2,27
